Acronym,SAT ID,Launch,(expected) EOL,"Satellite Programme",Orbit,Altitude,Longitude,Inclination,Ect,Sat Status,"Payload",Last update,Date
ACRIMSat,1,36514,41622,"Active Cavity Radiometer Irradiance Monitor Satellite",SunSync,696 km, , ,10:50 desc,Inactive,"ACRIM-III",2015-07-27 19:40:14,2015-07-27
ADEOS,2,35294,35611,"Advanced Earth Observing Satellite (original name: “Midori”)",SunSync,797 km, , ,10:30 desc,Inactive,"AVNIR, ILAS-I, IMG, NSCAT, OCTS, POLDER, RIS, TOMS",2015-07-27 19:41:38,2015-07-27
ADEOS-2,3,37604,37919,"Advanced Earth Observing Satellite (original name: “Midori”)",SunSync,812 km, , ,10:30 desc,Inactive,"AMSR, DCS (ADEOS), GLI, ILAS-II, POLDER, SeaWinds",2015-07-27 19:42:57,2015-07-27
Aeolus,4,43334,45046,"Aeolus",SunSync,320 km, , ,06:00 desc,Inactive,"ALADIN",2023-07-10 10:32:33,2023-07-10
ALOS,5,38741,40655,"Advanced Land Observing Satellite",SunSync,692 km, , ,10:30 desc,Inactive,"AVNIR-2, PALSAR, PRISM",2019-10-27 22:34:40,2019-10-27
ALOS-2,6,41783,44895,"Advanced Land Observing Satellite",SunSync,640 km, , ,12:00 desc,Operational,"CIRC, PALSAR-2",2022-12-12 8:18:09,2022-12-12
ALOS-3,7,44991,44991,"Advanced Land Observing Satellite",SunSync,669 km, , ,10:30 desc,Lost at launch,"WISH",2023-03-07 11:29:16,2023-03-07
AlSat-1,8,37588,40405,"Algeria Satellite",SunSync,700 km, , ,10:30 asc,Inactive,"SLIM6",2015-07-27 19:44:40,2015-07-27
AlSat-2,9,40371,43434,"Algeria Satellite",SunSync,686 km, , ,10:30 asc,Presumably inactive,"NAOMI (AlSat)",2020-01-01 3:12:22,2020-01-01
AlSat-2B,10,42639,47452,"Algeria Satellite",SunSync,680 km, , ,09:30 asc,Operational,"NAOMI (AlSat)",2022-10-24 8:42:54,2022-10-24
Amazônia-1,11,44255,45991,"Amazônia",SunSync,752 km, , ,10:30 desc,Operational,"AWFI",2021-07-13 14:35:39,2021-07-13
ASCENDS,12,TBD,TBD,"Active Sensing of CO2 Emissions over Nights, Days, and Seasons",SunSync,450 km, , ,10:30 asc,Mission concept,"CO2 lidar, CO sensor",2017-07-20 15:15:07,2017-07-20
ATS-1,13,24447,28825,"Application Technology Satellite",GEO,35786 km,150 ° W, ,,Inactive,"SSCC",2016-10-18 17:19:44,2016-10-18
ATS-3,14,24782,28825,"Application Technology Satellite",GEO,35786 km,45 ° W, ,,Inactive,"MSSCC",2015-07-27 19:47:27,2015-07-27
ATS-6,15,27149,29070,"Application Technology Satellite",GEO,35786 km,94 ° W, ,,Inactive,"VHRR (ATS)",2015-07-27 19:48:07,2015-07-27
BILSat,16,37891,38944,"BILTEN Satellte",SunSync,686 km, , ,10:30 asc,Inactive,"COBAN, MSIS, PanCam",2015-07-27 19:49:25,2015-07-27
BIRD,17,37186,39264,"Bi-spectral Infra-Red Detection",SunSync,572 km, , ,10:30 desc,Inactive,"HORUS, HSRS, WAOSS-B",2015-07-27 19:50:18,2015-07-27
Beijing-1,18,38652,40147,"Beijing",SunSync,699 km, , ,08:15 asc,Presumably inactive,"CMT, SLIM6",2019-12-27 20:34:43,2019-12-27
CALIPSO,19,38835,45139,"Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations",SunSync,689 km, , ,13:45 asc,Inactive,"CALIOP, IIR, WFC",2023-09-25 6:58:45,2023-09-25
CartoSat-1 (IRS-P5),20,38477,43590,"Satellite for Cartography",SunSync,618 km, , ,10:15 desc,Inactive,"PAN (CartoSat-1)",2020-01-03 20:24:08,2020-01-03
CartoSat-2,21,39092,43690,"Satellite for Cartography",SunSync,635 km, , ,09:30 desc,Inactive,"PAN (CartoSat-2A/B)",2020-01-03 20:29:02,2020-01-03
CartoSat-2A,22,39566,44895,"Satellite for Cartography",SunSync,635 km, , ,09:32 desc,Operational,"PAN (CartoSat-2A/B)",2022-10-24 8:45:58,2022-10-24
CartoSat-2B,23,40371,44895,"Satellite for Cartography",SunSync,640 km, , ,09:30 desc,Operational,"PAN (CartoSat-2A/B)",2022-10-24 8:48:06,2022-10-24
CartoSat-3,24,43796,45260,"Satellite for Cartography",SunSync,450 km, , ,09:30 desc,Operational,"MX, PAN (CartoSat-3)",2020-02-25 22:05:33,2020-02-25
CBERS-1,25,36447,37906,"China-Brazil Earth Resources Satellite",SunSync,778 km, , ,10:30 desc,Inactive,"DCS (CBERS), HRCC, IRMSS, WFI",2015-07-27 19:51:51,2015-07-27
CBERS-2,26,37915,39401,"China-Brazil Earth Resources Satellite",SunSync,778 km, , ,10:30 desc,Inactive,"DCS (CBERS), HRCC, IRMSS, WFI",2015-07-27 19:52:36,2015-07-27
CBERS-2B,27,39344,40314,"China-Brazil Earth Resources Satellite",SunSync,778 km, , ,10:30 desc,Inactive,"DCS (CBERS), HRCC, HRPC, WFI",2015-07-27 19:53:14,2015-07-27
CBERS-3,28,41617,41617,"China-Brazil Earth Resources Satellite",SunSync,778 km, , ,10:30 desc,Lost at launch,"DCS (CBERS), IRMSS-2, MUXCAM, PANMUX, WFI-2",2015-07-27 19:54:01,2015-07-27
CBERS-4,29,41980,44895,"China-Brazil Earth Resources Satellite",SunSync,778 km, , ,10:30 asc,Operational,"DCS (CBERS), IRMSS-2, MUXCAM, PANMUX, WFI-2",2022-10-24 8:52:11,2022-10-24
CHAMP,30,36722,40440,"Challenging Mini-Satellite Payload",DRIFT,470 km, ,87°,,Inactive,"ASC, BlackJack (CHAMP), DIDM, LRR (DLR), MIAS, STAR",2015-08-24 18:55:52,2015-08-24
CLARREO-1A,31,TBD,TBD,"Climate Absolute Radiance and Refractivity Observatory",DRIFT,609 km, ,90°,,Mission concept,"GNSS-RO, IR spectrometer",2022-06-23 16:18:29,2022-06-23
CloudSat,32,38835,45626,"CloudSat",SunSync,689 km, , ,13:30 asc,Operational,"CPR (CloudSat)",2022-09-26 9:59:27,2022-09-26
COMS,33,40355,44287,"Communication, Oceanography and Meteorology Satellite",GEO,35786 km,128.2 ° E, ,,Inactive,"GOCI, MI",2023-07-03 15:32:20,2023-07-03
GEO-KOMPSAT-2A,34,43438,47087,"Communication, Oceanography and Meteorology Satellite",GEO,35786 km,128.2 ° E, ,,Operational,"AMI, KSEM/CM, KSEM/MG (SOSMAG), KSEM/PD",2023-07-17 10:54:58,2023-07-17
GEO-KOMPSAT-2B,35,43879,47817,"Communication, Oceanography and Meteorology Satellite",GEO,35786 km,128.2 ° E, ,,Operational,"GEMS, GOCI-II",2023-02-21 15:20:30,2023-02-21
Coriolis,36,37627,44165,"Coriolis",SunSync,838 km, , ,06:10 desc,Inactive,"SMEI, WindSat",2022-03-21 8:53:49,2022-03-21
COSMIC-1,37,38821,43957,"Constellation Observing System for Meteorology, Ionosphere & Climate",DRIFT,800 km, ,72°,,Inactive,"CERTO/TBB, IGOR (COSMIC), TIP",2021-05-20 23:07:10,2021-05-20
CryoSat,38,38633,38633,"CryoSat",SunSync,717 km, ,92°,,Inactive,"DORIS, LRR (ESA), SIRAL",2021-03-11 16:26:11,2021-03-11
CryoSat-2,39,40276,46721,"CryoSat",DRIFT,717 km, ,92°,,Operational,"DORIS, LRR (ESA), SIRAL",2022-11-17 18:13:03,2022-11-17
CSG-1,40,43817,45991,"COSMO-SkyMed Second Generation",SunSync,619 km, , ,05:46 asc,Operational,"CSG-SAR",2022-03-01 17:27:18,2022-03-01
CSG-2,41,44592,47087,"COSMO-SkyMed Second Generation",SunSync,619 km, , ,05:46 asc,Operational,"CSG-SAR",2022-09-26 8:28:19,2022-09-26
CSK-1,42,39241,44895,"COSMO-SkyMed",SunSync,629.5 km, , ,05:46 asc,Operational,"SAR-2000",2022-10-24 8:58:27,2022-10-24
CSK-2,43,39425,44895,"COSMO-SkyMed",SunSync,629.5 km, , ,05:46 asc,Operational,"SAR-2000",2022-10-24 8:58:45,2022-10-24
CSK-3,44,39746,44895,"COSMO-SkyMed",SunSync,629.5 km, , ,05:46 asc,Operational,"SAR-2000",2022-10-24 8:59:00,2022-10-24
CSK-4,45,40488,44895,"COSMO-SkyMed",SunSync,629.5 km, , ,05:46 asc,Operational,"SAR-2000",2022-10-24 8:59:15,2022-10-24
Deimos-1,46,40023,43434,"Deimos",SunSync,660 km, , ,10:30 asc,Presumably inactive,"SLIM6",2020-01-01 3:14:49,2020-01-01
DESDynI,47,TBD,TBD,"Deformation, Ecosystem Structure, and Dynamics of Ice",SunSync,400 km, , ,06:00 desc,Mission concept,"InSAR, VCL",2018-06-20 23:26:16,2018-06-20
DMSP-F01,48,28014,29115,"Defense Meteorological Satellite Program - Block 5D-1",SunSync,820 km, , ,06:20 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSJ4, SSH",2023-03-06 11:22:51,2023-03-06
DMSP-F02,49,28280,28568,"Defense Meteorological Satellite Program - Block 5D-1",SunSync,832 km, , ,10:00 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SSH",2023-03-06 11:22:42,2023-03-06
DMSP-F03,50,28610,29190,"Defense Meteorological Satellite Program - Block 5D-1",SunSync,810 km, , ,06:20 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSJ4, SSH",2023-03-06 11:22:26,2023-03-06
DMSP-F04,51,29012,29442,"Defense Meteorological Satellite Program - Block 5D-1",SunSync,840 km, , ,10:00 desc,Inactive,"OLS, SEM/SSI/ES-2, SEM/SSJ4, SSH, SSM/T",2023-03-06 11:22:02,2023-03-06
